,ISBN,mean
197,0001911619,10.0
198,0001926284,10.0
202,0001935968,10.0
340309,O37348388,10.0
107472,0446523828,10.0
107493,0446524328,10.0
107526,04465255537,10.0
107616,0446528099,10.0
107632,0446528714,10.0
101203,0440224284,10.0
107660,0446529834,10.0
107674,0446530298,10.0
107687,0446530697,10.0
107699,044653093X,10.0
107709,0446531162,10.0
218,0001953877,10.0
223,0001981323,10.0
107856,0446601969,10.0
108039,0446605069,10.0
108118,0446606413,10.0
108120,0446606448,10.0
101061,044022165x,10.0
108541,0446618867,10.0
108576,0446670847,10.0
108653,0446673315,10.0
108679,0446673951,10.0
108719,0446675504,10.0
108741,0446676160,10.0
100978,0440220076,10.0
108795,0446677744,10.0
100947,0440219469,10.0
340270,O140257934,10.0
340273,O142001740,10.0
108862,0446679674,10.0
108864,0446679720,10.0
108881,0446690511,10.0
108892,0446691070,10.0
108893,0446691089,10.0
108906,0446691364,10.0
108907,0446691402,10.0
108915,0446692328,10.0
108929,0446693049,10.0
108937,0446754552,10.0
108945,0446768812,10.0
108952,0446784613,10.0
108967,0446813311,10.0
108982,044681637X,10.0
109010,0446828378,10.0
109033,0446860360,10.0
109061,0446893943,10.0
109066,0446894966,10.0
109125,0446911712,10.0
109133,044691214X,10.0
109146,0446919373,10.0
109151,0446922226,10.0
109159,0446936383,10.0
109183,0446949280,10.0
109250,0448026937,10.0
109276,0448058006,10.0
109281,0448060094,10.0
109290,0448060280,10.0
109296,0448080044,10.0
109297,0448080060,10.0
109298,0448080079,10.0
109299,0448080109,10.0
109300,0448080117,10.0
109301,0448080125,10.0
109302,0448080141,10.0
109365,0448090996,10.0
100806,0440216699,10.0
109458,0448117312,10.0
100787,0440216168,10.0
109476,0448128993,10.0
109517,0448165333,10.0
109519,0448165686,10.0
109527,0448170558,10.0
109567,0448195119,10.0
109571,0448210320,10.0
109588,0448400634,10.0
340203,N0553213342,10.0
340211,N0694011,10.0
109604,0448401339,10.0
109661,0448405725,10.0
100725,0440214882,10.0
100735,0440215021,10.0
109723,0448413043,10.0
109746,0448417049,10.0
109753,0448417359,10.0
109789,0448421542,10.0
109849,0448440776,10.0
100670,0440213614,10.0
110150,0449124142,10.0
110151,0449124185,10.0
110152,0449124207,10.0
110242,0449129233,10.0
110254,0449129691,10.0
340163,ISBN:08820775,10.0
340164,ISBN:14010225,10.0
340166,ISBNNR.303440,10.0
340184,LAFCADIO,10.0
110306,0449132420,10.0
110397,0449137481,10.0
110521,0449144631,10.0
110654,0449148327,10.0
110848,0449201961,10.0
110850,0449201996,10.0
110851,0449202003,10.0
110980,0449206084,10.0
111253,0449212289,10.0
111278,0449212831,10.0
111329,04492142,10.0
320,0002187272,10.0
340148,ISBN158898809,10.0
340151,ISBN188907105,10.0
340155,ISBN888565502,10.0
340161,ISBN:03734845,10.0
111384,0449215253,10.0
111549,0449219011,10.0
111582,0449219658,10.0
111621,0449220486,10.0
100376,0440206634,10.0
111955,0449232522,10.0
111980,0449233995,10.0
111983,0449234088,10.0
100329,0440205786,10.0
112062,0449236773,10.0
112076,0449237281,10.0
100318,044020562,10.0
112089,0449237834,10.0
112094,0449237923,10.0
112102,0449238148,10.0
340136,ISBN080922504,10.0
340137,ISBN081253162,10.0
340138,ISBN081330856,10.0
340139,ISBN082450431,10.0
340140,ISBN082640047,10.0
340142,ISBN088344090,10.0
340143,ISBN088730431,10.0
340144,ISBN096873513,10.0
340146,ISBN156338039,10.0
112115,0449238687,10.0
112163,0449240592,10.0
112179,0449241076,10.0
340127,ISBN066919179,10.0
340128,ISBN067169601,10.0
340130,ISBN067488014,10.0
326,0002191792,10.0
327,0002192101,10.0
328,0002192152,10.0
335,0002199793,10.0
336,0002200309,10.0
112217,0449242706,10.0
112227,0449242927,10.0
112337,0449300374,10.0
112358,044945102X,10.0
112469,0449703134,10.0
112473,0449703274,10.0
112573,0449902692,10.0
112575,0449902757,10.0
340113,ISBN006092043,10.0
340114,ISBN006131940,10.0
358,0002214067,10.0
340116,ISBN019501476,10.0
340118,ISBN034541762,10.0
340121,ISBN038000676,10.0
340122,ISBN038523569,10.0
340125,ISBN044652778,10.0
112593,0449903478,10.0
100220,0440203155,10.0
112682,0449906787,10.0
112685,0449906825,10.0
112700,0449907139,10.0
112704,0449907198,10.0
112715,044990752X,10.0
100182,0440202043495,10.0
112768,0449908844,10.0
386,0002223139,10.0
340105,I863710345,10.0
340108,I892350009,10.0
340110,ISBN002358470,10.0
340112,ISBN006066211,10.0
112797,0449909573,10.0
112835,0449910768,10.0
112868,0449911586,10.0
100140,0440200806,10.0
112984,0450030474,10.0
100108,0440197767,10.0
113044,0450055868,10.0
100092,0440195934495,10.0
113132,0450501000,10.0
113138,0450511855,10.0
340049,CDD869.9308,10.0
340075,D2000/8898/1,10.0
340082,DOESNOTHAVEON,10.0
113170,0450567974,10.0
113204,04510160525,10.0
113225,0451075226,10.0
113227,0451075803,10.0
113232,0451076982,10.0
113238,0451077989,10.0
113240,0451078438,10.0
113286,0451089057,10.0
113292,0451090284,10.0
113295,0451091515,10.0
113310,0451094352,10.0
113325,0451097386,10.0
113336,0451099133350,10.0
340010,B974251442,10.0
340027,CARD#528754,10.0
340043,CARD#6913112,10.0
113386,0451114876,10.0
113410,0451116763,10.0
113444,0451119088,10.0
113447,0451119231,10.0
113491,0451122720,10.0
113554,0451127110,10.0
113645,0451132130,10.0
113657,0451132653,10.0
113689,0451134745,10.0
99922,0440179033,10.0
113979,0451147839,10.0
114030,0451149785,10.0
114073,0451151062,10.0
114077,0451151232,10.0
114098,0451152301,10.0
339969,B0001I1KOG,10.0
339992,B298392002,10.0
114105,0451152581,10.0
114169,0451154924,10.0
99890,0440176670,10.0
114196,0451155963,10.0
99870,0440175801,10.0
114375,0451161491,10.0
99829,0440172101,10.0
114454,045116396,10.0
114498,045116563,10.0
114519,0451166345,10.0
99805,0440169836,10.0
99775,0440166667,10.0
114811,0451175018,10.0
339935,B0000DZ6N3,10.0
339942,B0000VZEJQ,10.0
339958,B00018U9FW,10.0
114831,0451175646,10.0
114982,0451180143,10.0
115047,0451181816,10.0
99645,0440152461,10.0
115842,0451202163,10.0
115888,0451202937,10.0
115895,0451203062,10.0
116256,045120946X,10.0
116276,045120980X,10.0
116294,0451210255,10.0
116302,0451210476,10.0
116343,0451211073,10.0
339888,B00009RGB8,10.0
339891,B0000A5A1L,10.0
339896,B0000AVHCA,10.0
339915,B0000BR9M5,10.0
452,0002238464,10.0
339925,B0000CABBW,10.0
339927,B0000DAOHN,10.0
116378,0451211820,10.0
116397,0451212215,10.0
116398,0451212223,10.0
116399,045121238X,10.0
116404,0451212479,10.0
116410,045121269X,10.0
116413,0451212827,10.0
116414,0451212851,10.0
116416,0451213327,10.0
116419,0451220980,10.0
339862,B00007KQA3,10.0
339867,B00008EY60,10.0
339869,B00008KZKI,10.0
339872,B00008RWPV,10.0
339873,B00008VFCA,10.0
473,0002243792,10.0
339877,B000094J80,10.0
339878,B000095WW8,10.0
339880,B00009APK1,10.0
116672,0451404491,10.0
99477,0440130433,10.0
116861,0451407237,10.0
116951,04514085856,10.0
117129,0451411110,10.0
99437,0440127092,10.0
117155,0451411447,10.0
117160,0451411528,10.0
339842,B00006ADFM,10.0
339857,B00007D03N,10.0
117161,0451411587,10.0
117164,0451428218,10.0
117183,0451450302,10.0
117250,0451451619,10.0
117312,0451452972,10.0
117367,0451454189,10.0
117575,0451458644,10.0
99301,0440117372,10.0
117633,0451459342,10.0
117638,0451459415,10.0
117640,0451459474,10.0
117646,0451459555,10.0
117647,0451459563,10.0
117648,0451459601,10.0
502,0002247267,10.0
505,000225056X,10.0
339833,B000066AXE,10.0
339835,B000067J1P,10.0
339837,B000067JZS,10.0
339839,B000068TPN,10.0
339841,B000069HZP,10.0
117656,0451459776,10.0
117657,0451459784,10.0
117666,0451459962,10.0
99257,0440112907,10.0
117667,0451460022,10.0
117675,0451512537,10.0
117686,0451514602,10.0
339804,B00005XGY4,10.0
339817,B00005Y0HR,10.0
339819,B000062UHX,10.0
339822,B000062XG0,10.0
117694,0451515560,10.0
99236,044011120,10.0
117717,0451516850,10.0
117755,0451518691,10.0
117777,0451519191,10.0
117784,0451519302,10.0
117804,0451519825,10.0
117829,0451520807,10.0
117849,0451521277,10.0
117856,0451521374,10.0
99201,0440108241,10.0
117875,0451521846,10.0
117885,0451522036,10.0
339769,B00005WIO6,10.0
339772,B00005WKES,10.0
339786,B00005WYJN,10.0
339794,B00005X4B2,10.0
117895,0451522265,10.0
99166,0440104157,10.0
118013,0451524020,10.0
118024,0451524179,10.0
99133,0440100259,10.0
118098,0451525183,10.0
118111,0451525345,10.0
118112,0451525353,10.0
118158,0451526228,10.0
118224,0451527348,10.0
99078,0440074088,10.0
339736,B00005VHJ0,10.0
118305,0451529006,10.0
118314,0451529340,10.0
118328,0451619943,10.0
118329,0451620372,10.0
118332,0451620585,10.0
118343,0451621603,10.0
99028,0440046793,10.0
99031,0440049245,10.0
118436,0451627245,10.0
118485,0451628373,10.0
118498,0451628675,10.0
118500,0451628802,10.0
98983,0440015405,10.0
118538,0452005493,10.0
118540,0452006066,10.0
118578,0452010136,10.0
339718,B00005QZ7U,10.0
339720,B00005R5G9,10.0
339725,B00005UMI4,10.0
339727,B00005UQ9V,10.0
118585,0452010411,10.0
118590,0452010624,10.0
98947,0440000734,10.0
98948,0440001226,10.0
118601,0452011116,10.0
118616,0452011639,10.0
98931,0439994128,10.0
98901,0439978963,10.0
98904,0439981255,10.0
118681,0452258073,10.0
98890,0439968437,10.0
118691,0452258804,10.0
118694,0452259126,10.0
339696,B000059TON,10.0
339701,B00005JKL8,10.0
339703,B00005JLFV,10.0
339704,B00005JLHX,10.0
339705,B00005JM02,10.0
339708,B00005LINE,10.0
339709,B00005LOUQ,10.0
118724,0452260817,10.0
118728,0452261139,10.0
98875,0439651255,10.0
118756,0452262240,10.0
98851,0439587115,10.0
98864,0439625602,10.0
98845,0439577527,10.0
118840,0452265436,10.0
118845,0452265622,10.0
339667,B00003CWT6,10.0
339670,B00003CXHJ,10.0
339671,B00003CXRA,10.0
339672,B00003CXSM,10.0
339673,B00003CYLJ,10.0
339678,B00004U8P8,10.0
339680,B00004XPPG,10.0
339691,B0000523SY,10.0
339693,B0000545SG,10.0
118902,0452267242,10.0
118909,0452267544,10.0
98812,0439568374,10.0
118946,0452268516,10.0
118951,0452268664,10.0
339666,B0000399WI,10.0
616,0002259621,10.0
621,0002259893,10.0
595,0002258277,10.0
98799,0439567629,10.0
98772,043955490X,10.0
98783,0439560403,10.0
119023,0452270677,10.0
119085,0452272297,10.0
119095,0452272580,10.0
119149,0452273862,10.0
119169,0452274508,10.0
119186,0452275059,10.0
98711,0439501199,10.0
98712,043950130X,10.0
119213,0452275881,10.0
119236,0452276578,10.0
639,0002310597,10.0
339651,B00000F566,10.0
339653,B00000JGHN,10.0
339655,B00000K3TP,10.0
98682,0439471516,10.0
119267,0452277701,10.0
119317,0452279100,10.0
98620,0439442427,10.0
98603,0439435366,10.0
119514,0452283299,10.0
98582,0439429765,10.0
98588,0439430062,10.0
119587,0452284562,10.0
98563,0439420970,10.0
119617,0452285631,10.0
339625,:8420634476.,10.0
339629,ASSORT00626,10.0
98559,0439420792,10.0
98560,0439420806,10.0
98533,043941184X,10.0
98540,0439417783,10.0
98542,0439417848,10.0
119687,0453008003,10.0
119728,0453273331,10.0
98509,0439407001,10.0
119748,0458921009,10.0
119809,0460078402,10.0
98469,043939628X,10.0
119817,046011624X,10.0
119865,046087246X,10.0
119882,0460873164,10.0
119883,0460873202,10.0
119893,0460873822,10.0
339593,9997512952,10.0
339610,9998914140,10.0
119903,0460874233,10.0
98428,0439372933,10.0
119928,0460875485,10.0
119948,0460878018,10.0
119951,046087814X,10.0
119964,0460879324,10.0
98387,043935806x,10.0
120035,0465016146,10.0
120038,0465016286,10.0
120061,0465020755,10.0
98320,043933909X,10.0
120204,046506776X,10.0
120205,0465067840,10.0
339566,9997410440,10.0
339572,9997412044,10.0
339574,9997412958,10.0
339589,9997508769,10.0
120223,0465071341,10.0
98284,0439329019,10.0
98289,0439329302,10.0
120267,0465086330,10.0
120269,0465086632,10.0
98266,0439325439,10.0
98245,0439319447,10.0
98254,0439321603,10.0
98255,0439321611,10.0
120311,0466310786,10.0
120363,0471044091,10.0
120369,0471048631,10.0
98222,0439317177,10.0
703,0002555603,10.0
339538,9994770934,10.0
120416,0471118494,10.0
120434,0471127957,10.0
98185,043930606X,10.0
98186,0439306078,10.0
98188,0439306094,10.0
98172,0439296994,10.0
120475,0471154962,10.0
120482,0471158925,10.0
98149,0439291437,10.0
98134,0439286824,10.0
120544,0471208752,10.0
120549,0471215449,10.0
712,000255755X,10.0
717,0002558661,10.0
339494,998992922X,10.0
339495,9990371628,10.0
120560,0471228796,10.0
120605,0471272426,10.0
120607,0471282774,10.0
98110,043928337X,10.0
120611,0471283908,10.0
120631,0471303712,10.0
120633,0471306061,10.0
120639,0471311413,10.0
120641,0471315702,10.0
120644,0471317519,10.0
120654,0471326429,10.0
120664,0471332224,10.0
339486,9986195152,10.0
339488,9986437164,10.0
120670,047134527X,10.0
98077,0439269695,10.0
120675,0471347795,10.0
120685,0471352519,10.0
120708,0471382574,10.0
120711,0471383538,10.0
120720,0471387584,10.0
120732,047139470X,10.0
120737,0471399191,10.0
120738,0471399205,10.0
120745,0471404217,10.0
98050,043926037X,10.0
120763,0471435961,10.0
120764,0471439150,10.0
120766,0471441074,10.0
744,0002727463,10.0
731,000262052,10.0
120776,0471485527,10.0
120777,0471485667,10.0
98032,0439251877,10.0
120803,0471521140,10.0
98005,0439241014,10.0
120865,0471593613,10.0
120889,0471616842,10.0
120919,0471799297,10.0
120921,0471804452,10.0
120922,0471815047,10.0
120928,0471835765,10.0
120952,0471902071,10.0
120960,0471963518,10.0
97963,0439231531,10.0
97968,0439232252,10.0
339438,9971655373,10.0
339459,9976100248,10.0
339460,9976100256,10.0
120980,0472061526,10.0
97940,0439227615,10.0
121000,0472089218,10.0
121006,0472113372,10.0
121011,0473022974,10.0
121019,0473068206,10.0
121023,0473080842,10.0
121027,0473090856,10.0
97914,0439222508,10.0
121058,0486202364,10.0
121060,0486202410,10.0
339416,9958101416,10.0
779,0003702588,10.0
784,0004105028,10.0
339431,9971400162,10.0
339432,9971401169,10.0
121067,0486202763,10.0
121078,0486204227,10.0
121097,0486206408,10.0
121118,0486209725,10.0
121138,0486213943,10.0
121142,048621446X,10.0
121145,0486214869,10.0
121152,0486216497,10.0
97871,0439217555,10.0
121172,0486218554,10.0
97857,0439216648,10.0
121242,0486227073,10.0
794,0004126491,10.0
798,0004133412,10.0
799,0004133439,10.0
339404,9903499424126,10.0
121243,048622709X,10.0
121251,0486227472,10.0
121253,0486227545,10.0
121256,0486227596,10.0
121259,0486227642,10.0
121260,0486227693,10.0
97827,0439210631,10.0
97811,0439207851,10.0
97812,043920786X,10.0
97821,0439209153,10.0
97824,0439210321,10.0
121286,0486228770,10.0
121295,0486229947,10.0
121304,048623052X,10.0
810,0004334566,10.0
811,0004334787,10.0
815,0004356373,10.0
339380,9879514092,10.0
339386,9879789970,10.0
121337,0486233162,10.0
121347,0486233936,10.0
121350,0486234045,10.0
121361,0486235289,10.0
121363,0486235467,10.0
121367,0486235831,10.0
121379,0486236862,10.0
121385,0486237753,10.0
827,0004588010,10.0
830,0004588193,10.0
834,0004595033,10.0
803,0004244117,10.0
121418,0486241785,10.0
121426,0486243001,10.0
121428,0486243338,10.0
121433,048624377X,10.0
121444,0486245462,10.0
121452,0486246361,10.0
121456,0486247015,10.0
121466,0486248046,10.0
121471,0486249042,10.0
121487,0486251527,10.0
121501,0486254372,10.0
121503,0486254437,10.0
97720,0439188830,10.0
97727,0439192595,10.0
842,0004704746,10.0
843,0004704754,10.0
844,0004704932,10.0
339356,987550095X,10.0
97700,0439182980,10.0
121528,0486259250,10.0
121537,0486260593,10.0
121541,0486261255,10.0
121542,0486261425,10.0
121546,0486263231,10.0
121549,0486263959,10.0
97696,0439179807,10.0
121571,0486265323,10.0
97677,0439176859,10.0
97679,0439176875,10.0
121638,0486271242,10.0
339323,9854481028,10.0
339327,9867975464,10.0
339339,9871138032,10.0
97662,0439174511,10.0
121722,0486279472,10.0
121730,0486280306,10.0
121737,0486280462,10.0
97642,0439167868,10.0
121806,0486285855,10.0
121807,0486285871,10.0
121849,0486289680,10.0
121882,0486292428,10.0
121892,0486292886,10.0
121901,0486293777,10.0
97610,043916169X,10.0
121912,0486295311,10.0
121919,0486295613,10.0
121950,048629756X,10.0
122071,0486410242,10.0
97558,0439153069,10.0
122107,0486414175,10.0
122114,0486414272,10.0
122140,0486419061,10.0
122157,0486419428,10.0
97549,0439148901,10.0
122194,0486424650,10.0
122233,0486647625,10.0
122238,0486999408,10.0
122251,0491017944,10.0
122253,0491020392,10.0
97510,043913957,10.0
97521,0439141346,10.0
122261,0491033516,10.0
122268,049130204,10.0
339310,9839747231,10.0
122276,0498013251,10.0
122287,0498076520,10.0
122292,0499220605,10.0
97475,0439136660,10.0
97480,0439136849,10.0
97489,0439137462,10.0
97469,043913597,10.0
97473,0439136601,10.0
122331,0500092524,10.0
122332,0500092907,10.0
122340,0500200610,10.0
122341,0500201021,10.0
122343,0500201072,10.0
122345,0500201560,10.0
122346,0500201846,10.0
884,000599134X,10.0
122372,05002450,10.0
122376,0500270759,10.0
122379,0500271194,10.0
97417,0439128455,10.0
122387,0500273243,10.0
122389,0500273286,10.0
122394,0500274754,10.0
122397,0500276226,10.0
97398,0439115256,10.0
97402,0439115469,10.0
122426,0500282420,10.0
122429,0500300127,10.0
122432,0500300399,10.0
122437,0500300909,10.0
122440,0500390266,10.0
122443,0500510989,10.0
122445,0500541558,10.0
122447,0500542643,10.0
122453,0500810338,10.0
122460,0500976147,10.0
122461,0500976236,10.0
122474,0505515334,10.0
122520,0505520001,10.0
97349,0439108055,10.0
122673,0505522942,10.0
122679,0505523000,10.0
122867,0505525208,10.0
122895,0505525518,10.0
122914,0505525801,10.0
122921,0505525925,10.0
122922,0505525968,10.0
122924,0505526018,10.0
339251,9834087802,10.0
122934,0509623966,10.0
122941,0512700030,10.0
122964,0515032794,10.0
122978,0515036070,10.0
122984,0515038016,10.0
122988,0515039314,10.0
123013,0515045713,10.0
123074,0515058181,10.0
123103,051506162X,10.0
97203,0439079462,10.0
339241,9831920007,10.0
339245,9832695007,10.0
123333,051508607X,10.0
97170,043906486,10.0
123567,0515100552,10.0
123623,0515103802,10.0
97075,0439042968,10.0
97071,0439042445,10.0
97051,0439013046,10.0
97052,0439013070,10.0
97033,0439010691,10.0
97041,0439011558,10.0
97009,0436270846,10.0
123956,0515118400,10.0
124120,0515123692,10.0
124266,0515127264,10.0
96933,0435911945,10.0
974,0006145892,10.0
339226,9814120383,10.0
948,0006140831,10.0
124401,05151311660,10.0
124444,05151324809,10.0
96911,0435907182,10.0
96886,0435900889,10.0
96896,0435902687,10.0
124544,0515135097,10.0
124559,0515135674,10.0
96867,043545353X,10.0
124611,051513841X,10.0
96863,0435354965,10.0
124691,0516076272,10.0
124693,0516078461,10.0
124701,0516133357,10.0
986,0006150853,10.0
96827,0435270214,10.0
96833,0435270710,10.0
96808,0435125079,10.0
96810,0435126105,10.0
124797,0517017474,10.0
124806,0517025493,10.0
124812,0517029626,10.0
96781,0435121553,10.0
124820,0517033801,10.0
124824,0517035529,10.0
124826,0517035685,10.0
124833,0517037165,10.0
96760,0435086936,10.0
96762,0435088157,10.0
96763,0435088432,10.0
339197,9812343091,10.0
96744,0435055858,10.0
96750,0435081195,10.0
124852,0517053195,10.0
124853,0517053233,10.0
124854,0517053241,10.0
124855,0517053578,10.0
124859,0517055872,10.0
96726,0434950521,10.0
96727,0434954209,10.0
96728,0434954268,10.0
124868,0517060124,10.0
124872,0517060264,10.0
124894,0517065533,10.0
96707,0434804657,10.0
96709,0434817112,10.0
124905,051707236X,10.0
339166,981045645X,10.0
339167,9810456468,10.0
339170,9810500246,10.0
124944,0517082543,10.0
124955,0517087863,10.0
124962,0517091291,10.0
124966,0517092891,10.0
124967,0517092913,10.0
96670,0434192031,10.0
125003,0517100738,10.0
125020,0517101858,10.0
125041,0517118297,10.0
125046,0517118432,10.0
125057,0517119064,10.0
339141,9802571652,10.0
339151,9810035578,10.0
125075,0517121794,10.0
125112,0517131633,10.0
125119,0517138522,10.0
125129,0517141701,10.0
125134,0517142090,10.0
125137,0517142511,10.0
96596,0434004170,10.0
125143,051714512X,10.0
96580,0434002437,10.0
96584,0434002852,10.0
125160,0517147521,10.0
125199,051716096X,10.0
125200,0517161001,10.0
125201,0517161095,10.0
125202,0517161109,10.0
96562,0432534230,10.0
125213,0517162113,10.0
339131,9799023122,10.0
339132,9799023386,10.0
125217,0517162288,10.0
96544,0426205049,10.0
125223,0517162768,10.0
125233,0517163942,10.0
125236,0517164027,10.0
125254,0517180855,10.0
125266,0517183358,10.0
125304,0517194600,10.0
125322,0517203340,10.0
125328,0517203995,10.0
125340,0517205963,10.0
339110,9789647033565,10.0
125350,0517208601,10.0
125352,0517208776,10.0
125356,0517209551,10.0
125366,0517220091,10.0
125372,0517220849,10.0
125377,0517221144,10.0
125384,0517223651,10.0
125385,0517225514,10.0
125388,0517233584,10.0
96435,0425198049,10.0
96443,0425198375,10.0
96444,0425198480,10.0
96450,0425199746,10.0
125395,0517250152,10.0
125396,0517250209,10.0
125397,0517250217,10.0
125398,0517250225,10.0
125400,051725042X,10.0
339064,9788817106108,10.0
1090,0006166490,10.0
339093,9788878248854,10.0
96426,0425197492,10.0
96427,0425197514,10.0
96432,0425198014,10.0
96433,0425198022,10.0
96434,0425198030,10.0
125417,0517263025,10.0
125419,0517263076,10.0
125422,0517263297,10.0
96404,0425196933,10.0
96414,042519714X,10.0
96415,0425197158,10.0
125431,0517270803,10.0
339048,9788495470188,10.0
339059,9788806600117,10.0
96390,0425196550,10.0
125445,051728863X,10.0
125446,0517288710,10.0
125463,0517309785,10.0
96373,0425195945,10.0
96379,0425196119,10.0
96381,0425196208,10.0
96384,0425196348,10.0
125496,0517336316,10.0
125505,0517341727,10.0
125516,0517347997,10.0
125527,0517360578,10.0
1112,0006167926,10.0
1121,000616823X,10.0
339029,9788434846852,10.0
339030,978845915703,10.0
339047,9788495346230,10.0
125536,0517371464,10.0
125553,0517385562,10.0
125573,0517396300,10.0
125584,0517407760,10.0
96307,0425194019,10.0
96309,0425194035,10.0
125595,0517420570,10.0
125602,0517427427,10.0
125607,0517436035,10.0
125608,0517436183,10.0
125647,0517480859,10.0
125654,0517490048,10.0
125661,051750118X,10.0
125663,0517502917,10.0
125679,0517516764,10.0
96244,0425192644,10.0
125715,0517531313,10.0
125724,051753276X,10.0
125727,0517534010,10.0
96227,0425192016,10.0
125754,0517539284,10.0
125761,0517541491,10.0
96215,0425191702,10.0
96221,042519180X,10.0
96222,0425191834,10.0
125800,0517547112,10.0
125823,0517550083,10.0
125842,051755285X,10.0
125844,0517553384,10.0
125847,051755402X,10.0
125868,0517556480,10.0
125916,051756288X,10.0
125927,0517564319,10.0
125941,0517565951,10.0
125951,0517566656,10.0
125964,0517568136,10.0
125980,0517569892,10.0
125986,0517570327,10.0
126009,0517572168,10.0
126039,0517574861,10.0
126049,0517575345,10.0
126052,0517575647,10.0
126075,0517577305,10.0
126091,0517578581,10.0
126093,0517580055,10.0
126096,0517580306,10.0
338961,9783492229418,10.0
126130,0517583569,10.0
126155,0517585421,10.0
126158,0517585502,10.0
126168,0517586975,10.0
126173,0517587874,10.0
126188,051758932X,10.0
126190,051758977X,10.0
126195,0517590417,10.0
126223,0517592673,10.0
126248,0517595664,10.0
126252,0517596180,10.0
126254,0517596318,10.0
96023,0425186776,10.0
126324,0517618249,10.0
126325,0517618338,10.0
126326,0517618346,10.0
126347,0517634899,10.0
126359,0517642905,10.0
126360,0517642913,10.0
